city_risk,season_risk,forecast_risk,income_volatility,platform_count,weeks_active,persona_type,weekly_premium
0.5233,0.4166,0.4588,0.3665,3,19,2,88.7
0.7102,0.2633,0.222,0.2187,1,9,0,92.66
0.5998,0.4133,0.3261,0.1157,2,50,2,90.36
0.6118,0.5174,0.5229,0.2249,1,3,1,87.23
0.6765,0.8804,0.7311,0.5923,2,15,0,111.63
0.6571,0.4982,0.386,0.6226,3,4,0,100.58
0.6014,0.9245,0.6533,0.4579,2,39,1,113.63
0.5812,0.3456,0.281,0.5111,1,6,2,99.11
0.5696,0.2449,0.2381,0.6015,1,2,2,84.09
0.4985,0.9266,0.7364,0.1735,3,12,0,98.01
0.6831,0.3608,0.4286,0.2983,3,33,2,91.72
0.7156,0.4217,0.4806,0.5042,2,5,2,94.93
0.5963,0.3658,0.4343,0.6892,1,28,0,99.49
0.575,0.428,0.4642,0.2813,1,31,1,95.83
0.6748,0.8587,0.7222,0.115,3,9,1,101.06
0.7108,0.692,0.53,0.4587,3,24,1,102.09
0.621,0.6639,0.8223,0.6931,2,17,1,108.88
0.7302,0.6847,0.5722,0.304,3,5,1,99.74
0.7042,0.3481,0.3646,0.7423,1,41,2,103.35
0.5687,0.8347,1.0,0.7905,3,35,1,126.29
0.6236,0.82,0.8742,0.3399,3,16,0,102.94
0.6397,0.4539,0.5732,0.1402,1,48,0,92.51
0.5757,0.2136,0.205,0.2798,3,6,1,70.63
0.6508,0.7916,0.6144,0.5021,3,49,2,103.49
0.6371,0.8402,0.9312,0.3586,3,33,0,112.88
0.6189,0.4282,0.4321,0.4554,1,24,0,103.1
0.5629,0.6955,0.7584,0.3253,3,42,2,93.45
0.7053,0.8926,0.6594,0.1155,1,30,2,112.11
0.6023,0.3193,0.303,0.4819,1,23,2,91.39
0.6112,0.3802,0.4194,0.5445,2,35,2,88.47
0.6554,0.4226,0.4621,0.5241,1,40,0,103.94
0.6354,0.6586,0.5534,0.3063,2,30,1,94.86
0.6897,0.3716,0.3489,0.7597,1,17,0,112.98
0.7219,0.8371,0.6016,0.648,1,45,1,116.05
0.5278,0.755,0.571,0.7881,2,7,1,109.12
0.5738,0.4595,0.3234,0.3531,1,22,1,86.51
0.5551,0.3185,0.3838,0.3147,2,42,2,81.93
0.6295,0.8795,0.8465,0.7189,3,33,0,119.54
0.7314,0.8617,1.0,0.6167,2,4,1,118.37
0.6481,0.3706,0.2649,0.5605,3,50,2,89.46
0.7399,0.3341,0.3221,0.2258,1,19,1,102.85
0.6397,0.8753,0.6463,0.6663,2,51,1,117.34
0.6433,0.6675,0.5688,0.2693,2,46,1,99.74
0.5767,0.5235,0.3708,0.7039,3,8,0,84.3
0.6672,0.8617,0.7945,0.2404,3,28,2,99.45
0.687,0.3379,0.4037,0.3173,2,6,1,79.37
0.703,0.7118,0.6808,0.5599,1,46,2,120.48
0.6206,0.4394,0.467,0.5499,3,25,0,94.19
0.6484,0.4161,0.5205,0.6448,2,43,0,100.87
0.6088,0.3869,0.361,0.4001,1,31,0,96.62
0.602,0.2837,0.315,0.1368,1,11,2,78.05
0.5949,0.6409,0.7316,0.3841,2,34,2,109.71
0.7435,0.438,0.4937,0.2377,2,41,2,100.34
0.7128,0.9534,0.8895,0.1493,3,51,2,117.65
0.6587,0.7512,0.8029,0.4282,2,19,2,106.48
0.6185,0.6158,0.5293,0.1929,2,31,0,95.87
0.7294,0.3001,0.2497,0.5482,3,41,2,83.07
0.6021,0.4304,0.5115,0.3638,3,47,0,89.98
0.6417,0.8814,1.0,0.7254,3,46,0,119.29
0.6371,0.9629,0.9605,0.6094,2,11,1,118.48
0.5377,0.2893,0.3617,0.3436,2,49,1,89.99
0.5527,0.8351,0.8533,0.3352,1,43,2,113.82
0.6861,0.5006,0.499,0.4874,3,1,2,102.59
0.5747,0.2425,0.2198,0.7917,1,42,2,96.85
0.5556,0.9322,0.8377,0.1341,1,28,0,105.9
0.5494,0.6781,0.5294,0.1165,2,37,1,98.06
0.6438,0.6773,0.636,0.6279,3,6,2,107.72
0.6777,0.2369,0.1851,0.5729,1,39,1,95.87
0.6801,0.2954,0.3491,0.3074,2,3,0,92.35
0.6965,0.4529,0.4882,0.1084,1,3,1,99.65
0.5992,0.8915,0.673,0.6689,3,39,0,121.59
0.6623,0.5002,0.4309,0.3911,3,22,0,92.63
0.572,0.2199,0.2508,0.3816,1,29,2,88.75
0.6066,0.2758,0.3118,0.2455,2,27,0,82.86
0.6253,0.6952,0.6805,0.5758,2,1,0,106.66
0.587,0.527,0.6298,0.4778,1,8,2,105.58
0.5767,0.2615,0.2333,0.2024,1,22,1,83.09
0.6973,0.6718,0.4798,0.7235,2,7,0,110.68
0.6259,0.236,0.3015,0.5739,3,25,2,89.76
0.614,0.858,0.7906,0.629,2,42,0,116.7
0.6486,0.3784,0.4005,0.3852,1,30,0,97.8
0.6475,0.2565,0.2755,0.5588,2,8,1,90.91
0.6781,0.9339,1.0,0.1312,3,34,0,109.0
0.6258,0.4368,0.4157,0.2462,3,49,2,88.9
0.6175,0.9821,1.0,0.5184,3,39,0,118.76
0.5948,0.806,0.8199,0.4336,1,46,2,118.43
0.6539,0.3033,0.3684,0.1357,2,17,2,79.77
0.6869,0.3381,0.3796,0.2813,3,36,0,80.99
0.6631,0.9233,0.8589,0.4359,2,28,1,115.49
0.6121,0.4065,0.4824,0.4827,1,42,0,105.71
0.6321,0.6041,0.5602,0.4547,1,6,0,104.36
0.6353,0.7429,0.9345,0.2637,1,33,2,117.63
0.6421,0.5682,0.7173,0.1024,1,38,2,104.35
0.5511,0.348,0.2553,0.3985,3,23,2,83.17
0.6382,0.2548,0.2867,0.5242,1,26,2,102.92
0.7245,0.2257,0.2623,0.4371,3,1,0,72.18
0.5797,0.4172,0.3558,0.3551,2,48,0,88.02
